rally,ball_round,time,frame_num,score_status,player_score,opponent_score,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,player_move_x,player_move_y,opponent_location_area,opponent_location_x,opponent_location_y,opponent_move_x,opponent_move_y,ball_distance,player_type,opponent_type,player_move_area,moving_x,moving_y,landing_court_number,ball_distance_x,ball_distance_y,db,set,match_id,rally_id
1,1,0:07:39,11496.0,0.0,0.0,0.0,Kento MOMOTA,1.0,發短球,0.0,1.0,2.0,14.0,-0.0196492380571161,0.3664146155198778,1.0,18.0,-0.073337499654345,0.5945635355250196,,,Kento MOMOTA,,14.0,-0.0196492380571161,0.3664146155198778,0.0316904856227849,-0.1035456857115604,10.0,-0.1632827887015297,0.285619010735518,0.0,0.0,0.0,1.0,0.0,11.0,0.0120412475656688,0.2628689298083174,,0.0,0.0,0.0,1,1.0,0
1,2,00:07:43,11582.0,0.0,0.0,0.0,CHOU Tien Chen,3.0,長球,0.0,1.0,2.0,18.0,-0.073337499654345,0.5945635355250196,2.0,32.0,-0.4513914856846306,-0.4228076653977647,出界,對手出界,Kento MOMOTA,,10.0,-0.1632827887015297,0.285619010735518,0.0,0.0,11.0,0.0120412475656688,0.2628689298083174,0.0316904856227849,-0.1035456857115604,0.3217714630280202,,,18.0,-0.073337499654345,0.5945635355250196,,0.0899452890471847,0.3089445247895016,0.0,1,1.0,0
2,1,0:07:55,11881.0,1.0,1.0,0.0,Kento MOMOTA,1.0,發短球,0.0,1.0,2.0,15.0,0.0686698043876449,0.3867684333496436,2.0,15.0,0.2744344201718973,0.4998572831495475,,,Kento MOMOTA,,15.0,0.0686698043876449,0.3867684333496436,-0.0566760594357769,-0.1111039581329691,11.0,0.3064756103850713,0.2890356910072441,0.0,0.0,0.0,1.0,0.0,11.0,0.011993744951868,0.2756644752166745,,0.0,0.0,0.0,1,1.0,1
2,2,0:07:56,11900.0,1.0,1.0,0.0,CHOU Tien Chen,2.0,推撲球,0.0,1.0,1.0,15.0,0.2744344201718973,0.4998572831495475,2.0,7.0,0.3114890567274725,-0.137782153135466,,,Kento MOMOTA,,11.0,0.3064756103850713,0.2890356910072441,-0.33252126646241,-0.3572638515004004,11.0,0.011993744951868,0.2756644752166745,-0.0566760594357769,-0.1111039581329691,0.213242541683625,9.0,1.0,10.0,-0.0580868462905127,0.1425934316491471,,-0.032041190213174,0.2108215921423034,0.0,1,1.0,1
2,3,0:07:56,11921.0,1.0,1.0,0.0,Kento MOMOTA,2.0,殺球,0.0,0.0,2.0,7.0,0.3114890567274725,-0.137782153135466,1.0,10.0,-0.131393895801771,0.0929926188139302,,,Kento MOMOTA,,11.0,0.011993744951868,0.2756644752166745,-0.1529985989639092,0.1376421933434936,10.0,-0.0580868462905127,0.1425934316491471,-0.33252126646241,-0.3572638515004004,0.5105247851684769,4.0,9.0,7.0,0.1584904577635633,-0.0001399597919724,,0.2994953117756045,-0.4134466283521404,0.0,1,1.0,1
2,4,0:07:57,11934.0,1.0,1.0,0.0,CHOU Tien Chen,2.0,接殺防守,0.0,1.0,1.0,10.0,-0.131393895801771,0.0929926188139302,2.0,23.0,0.3220913611294873,0.8100688819618356,,,Kento MOMOTA,,10.0,-0.0580868462905127,0.1425934316491471,0.0038039103825751,0.0295325183765692,7.0,0.1584904577635633,-0.0001399597919724,-0.1529985989639092,0.1376421933434936,0.0885108137007015,10.0,4.0,10.0,-0.1275899854191959,0.1225251371904995,,-0.0733070495112583,-0.0496008128352168,0.0,1,1.0,1
2,5,0:07:58,11952.0,1.0,1.0,0.0,Kento MOMOTA,2.0,推撲球,0.0,0.0,2.0,23.0,0.3220913611294873,0.8100688819618356,1.0,11.0,0.0216578149706596,0.1334180268353359,,,Kento MOMOTA,,7.0,0.1584904577635633,-0.0001399597919724,-0.2172244199336475,-0.5145510102663357,10.0,-0.1275899854191959,0.1225251371904995,0.0038039103825751,0.0295325183765692,0.8265613243058215,9.0,10.0,11.0,0.1048669411958398,0.2955178716954999,,0.1636009033659239,0.810208841753808,0.0,1,1.0,1
2,6,0:07:58,11965.0,1.0,1.0,0.0,CHOU Tien Chen,2.0,平球,0.0,0.0,2.0,11.0,0.0216578149706596,0.1334180268353359,1.0,31.0,-0.9220394758300589,-0.425415522264591,未過網,對手未過網,Kento MOMOTA,,10.0,-0.1275899854191959,0.1225251371904995,0.0,0.0,11.0,0.1048669411958398,0.2955178716954999,-0.2172244199336475,-0.5145510102663357,0.1496447826221306,7.0,9.0,11.0,0.0216578149706596,0.1334180268353359,,0.1492478003898555,0.0108928896448364,0.0,1,1.0,1
2,7,,,,,,Kento MOMOTA,3.0,接不到,,,,7.0,0.0,0.0,,23.0,0.0,1.0,,,Kento MOMOTA,,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,,,7.0,0.0,0.0,,0.0,0.0,,1,1.0,1
3,1,0:08:11,12298.0,2.0,2.0,0.0,Kento MOMOTA,1.0,發短球,0.0,1.0,2.0,14.0,-0.0166485874493358,0.3467401922184905,1.0,10.0,-0.1191089749786108,0.2765079729989859,,,CHOU Tien Chen,,14.0,-0.0166485874493358,0.3467401922184905,0.1049066485714214,-0.0124204535157195,10.0,-0.1840524436476774,0.2665806013205139,0.0,0.0,0.0,1.0,0.0,15.0,0.0882580611220856,0.334319738702771,,0.0,0.0,0.0,1,1.0,2
