ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,win_prob,rally
1,00:00:03,103.0,0,0,Khosit PHETPRADAB,1,發短球,0,1,2.0,8,,,2.0,7,516.0,410.0,,,Khosit PHETPRADAB,,9,0.1651940592404975,0.909982765298002,9,-0.5611827189884844,-1.0861752768923043,0,1,42,1628,0.0,1,True,1,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.1984641999006271,1
2,00:00:04,124.0,0,0,WANG Tzu Wei,2,推撲球,0,0,2.0,8,516.0,410.0,1.0,3,898.0,663.0,,,Khosit PHETPRADAB,,9,-0.4630255669234511,-0.5916977700337371,9,0.0854150066042205,0.8126158678090322,0,1,42,1628,0.25,0,True,1,0.0,0,0.5144796371459961,0.4855203628540039,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.2346116751432418,1
3,00:00:05,157.0,0,0,Khosit PHETPRADAB,2,殺球,0,0,1.0,4,898.0,663.0,2.0,6,792.0,358.0,,,Khosit PHETPRADAB,,9,0.9234601757309482,1.4733645653101852,9,-0.0728371858654044,-0.9837037580444378,0,1,42,1628,0.5,1,True,1,0.0,0,0.3015772104263305,0.3095745742321014,0.3888482749462127,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.3378393948078155,1
4,00:00:05,173.0,0,0,WANG Tzu Wei,2,接殺防守,0,1,2.0,7,792.0,358.0,2.0,1,809.0,497.0,,,Khosit PHETPRADAB,,9,0.5185952166501634,-1.039253334937557,9,0.7560801944977715,1.3099407674601178,0,1,42,1628,0.5,0,True,1,0.0,0,0.2000019252300262,0.2053056806325912,0.2702594101428985,0.3244329690933227,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.4764689803123474,1
5,00:00:06,197.0,0,0,Khosit PHETPRADAB,2,網前球,0,0,2.0,2,809.0,497.0,2.0,7,722.0,407.0,,,Khosit PHETPRADAB,,8,0.7140419884438186,0.6272863538778436,9,0.4217931267146347,-0.9090035344721475,0,1,42,1628,0.75,1,True,1,0.0,0,0.1359023600816726,0.1395062953233719,0.1836427003145218,0.2544299662113189,0.2865186333656311,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.53438401222229,1
6,00:00:07,223.0,0,0,WANG Tzu Wei,3,挑球,0,1,2.0,8,722.0,407.0,2.0,10,239.0,696.0,出界,對手出界,Khosit PHETPRADAB,,8,0.2563543911668621,-0.3594763061919813,8,0.3625545856832153,0.6247415128592836,0,1,42,1628,1.0,0,True,1,0.0,0,0.0981061905622482,0.100707821547985,0.1325693279504776,0.1836697608232498,0.207731232047081,0.2772156000137329,,,,,,,,,,,,,,,,,,,,,,,,0.6479215025901794,1
1,00:00:21,654.0,1,0,Khosit PHETPRADAB,1,發短球,0,1,2.0,8,,,2.0,7,660.0,404.0,,,Khosit PHETPRADAB,,9,-0.0402016546927287,0.9080429449298796,9,0.5843375238945945,-1.079558647576719,0,1,42,1629,0.0,1,True,1,1.0,1,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.1934243738651275,2
2,00:00:22,672.0,1,0,WANG Tzu Wei,2,網前球,0,0,2.0,8,660.0,404.0,2.0,7,670.0,476.0,,,Khosit PHETPRADAB,,8,0.5201427464318034,-0.5024943508259293,9,0.0417558317944499,0.8051918877589722,0,1,42,1629,0.2,0,True,1,1.0,1,0.5037041306495667,0.4962958991527557,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.2402881979942321,2
3,00:00:23,697.0,1,0,Khosit PHETPRADAB,2,網前球,0,0,2.0,8,670.0,476.0,2.0,7,546.0,424.0,,,Khosit PHETPRADAB,,8,0.0936483379719003,0.4424049498286789,9,0.2453550766556588,-0.6514654586332421,0,1,42,1629,0.4,1,True,1,1.0,1,0.2887021005153656,0.3425008952617645,0.3687970638275146,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.2926196157932281,2
4,00:00:24,720.0,1,0,WANG Tzu Wei,2,挑球,0,0,2.0,8,546.0,424.0,1.0,6,425.0,574.0,,,Khosit PHETPRADAB,,8,-0.3668723387629535,-0.2854541071625922,8,-0.0364896434531793,0.4416433183218444,0,1,42,1629,0.6,0,True,1,1.0,1,0.2031868547201156,0.2410501539707183,0.2487267851829528,0.3070362210273742,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.406149685382843,2
