ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,win_prob,rally
1,00:03:54,7038.0,0,0,SHI Yuqi,1,發短球,0,1,2.0,8,,,2.0,7,559.0,361.0,,,NG Ka Long Angus,,9,0.1249697908111351,0.8446666959253033,9,-0.4134149421788173,-0.7882913887734265,0,1,48,2139,0.0,1,True,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6964890956878662,1
2,00:03:55,7059.0,0,0,NG Ka Long Angus,2,網前球,0,0,2.0,8,559.0,361.0,2.0,7,748.0,423.0,,,NG Ka Long Angus,,8,-0.3738901413726164,-0.3728613402005504,9,0.0269249682710001,0.8678292434593379,0,1,48,2139,0.1666666666666666,0,True,0,0.0,0,0.5672445893287659,0.4327553808689117,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5880534052848816,1
3,00:03:56,7083.0,0,0,SHI Yuqi,2,挑球,0,0,2.0,8,748.0,423.0,1.0,3,467.0,256.0,,,NG Ka Long Angus,,8,0.667246560875064,0.529845059174022,9,0.2011259291200708,-0.7626122840633505,0,1,48,2139,0.3333333333333333,1,True,0,0.0,0,0.3541343510150909,0.2581241726875305,0.3877414464950561,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2881956100463867,1
4,00:03:57,7123.0,0,0,NG Ka Long Angus,2,長球,0,0,1.0,4,467.0,256.0,1.0,3,361.0,610.0,,,NG Ka Long Angus,,4,-0.8553141826015385,-1.5190228010003313,9,0.0117050237129646,0.8604784547799534,0,1,48,2139,0.5,0,True,0,0.0,0,0.2474361360073089,0.1803531497716903,0.2678492069244385,0.304361492395401,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2632129192352295,1
5,00:03:58,7155.0,0,0,SHI Yuqi,2,長球,0,0,1.0,4,361.0,610.0,1.0,3,441.0,253.0,,,NG Ka Long Angus,,9,-0.6978791682625873,1.3652614613978649,9,-0.4554294618157243,-1.2055058514879502,0,1,48,2139,0.6666666666666666,1,True,0,0.0,0,0.1685207486152649,0.1228327006101608,0.1824234277009964,0.2125968188047409,0.3136262595653534,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3843393921852112,1
6,00:04:00,7199.0,0,0,NG Ka Long Angus,3,殺球,0,0,1.0,4,441.0,253.0,2.0,6,905.0,532.0,對手落地致勝,落地致勝,NG Ka Long Angus,,4,-1.0300625373815468,-1.4211395666552988,9,-0.1870760250826488,1.157768546167338,0,1,48,2139,1.0,0,True,0,0.0,0,0.1303173750638961,0.0949867293238639,0.1410683393478393,0.1644014567136764,0.2387471050024032,0.2304790169000625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.536776602268219,1
1,00:04:12,7562.0,1,0,NG Ka Long Angus,1,發短球,0,1,2.0,8,,,2.0,8,551.0,484.0,,,NG Ka Long Angus,,9,0.1385117608395812,-0.6993402049838305,9,-0.5878318902974933,0.9609083754862304,0,1,48,2140,0.0,0,True,0,-1.0,-1,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4651196599006653,2
2,00:04:13,7584.0,1,0,SHI Yuqi,2,推撲球,0,1,2.0,9,551.0,484.0,1.0,4,822.0,249.0,,,NG Ka Long Angus,,9,-0.1574111285700617,0.7635516648129735,9,-0.0352498427041894,-0.8237584242532844,0,1,48,2140,0.25,1,True,0,-1.0,-1,0.3279705643653869,0.672029435634613,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1638448685407638,2
3,00:04:14,7620.0,1,0,NG Ka Long Angus,2,切球,0,1,1.0,5,822.0,249.0,2.0,2,821.0,465.0,,,NG Ka Long Angus,,5,1.056999726987033,-1.4670487087253363,9,0.2604446536052356,0.910624802717253,0,1,48,2140,0.5,0,True,0,-1.0,-1,0.2217130213975906,0.4130058586597442,0.3652811646461487,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3178613483905792,2
4,00:04:14,7642.0,1,0,SHI Yuqi,2,網前球,0,0,2.0,3,821.0,465.0,2.0,2,851.0,349.0,,,NG Ka Long Angus,,9,0.833449788664372,0.7099161943540869,9,0.484018312687815,-1.2265839157591882,0,1,48,2140,0.5,1,True,0,-1.0,-1,0.1299296766519546,0.2420323193073272,0.2123181223869323,0.4157199263572693,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4380075335502624,2
