ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,ball_round40,ball_round41,ball_round42,ball_round43,ball_round44,ball_round45,ball_round46,ball_round47,ball_round48,ball_round49,ball_round50,ball_round51,win_prob,rally
1,0:03:00,5423.0,0,0,CHOU Tien Chen,1,發短球,0,1,2.0,8,,,2.0,8,625.0,467.0,,,Anthony Sinisuka GINTING,,9,0.2100605713033265,0.912048928174217,9,-0.498429285756355,-0.872730074566241,0,1,24,113,0.0,0,True,1,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.745154619216919,1
2,0:03:02,5463.0,0,0,Anthony Sinisuka GINTING,2,推撲球,0,0,2.0,9,625.0,467.0,2.0,3,848.0,664.0,,,Anthony Sinisuka GINTING,,9,-0.3794733289553565,-0.6172561822353831,9,0.0570515610972497,0.9521040381939146,0,1,24,113,0.1818181818181818,1,True,1,0.0,0,0.5415579080581665,0.4584420919418335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2107801288366317,1
3,0:03:03,5499.0,0,0,CHOU Tien Chen,2,長球,0,0,1.0,4,848.0,664.0,1.0,4,788.0,420.0,,,Anthony Sinisuka GINTING,,4,0.7054194734950241,1.587451963300456,9,0.2606387674135321,-0.8827549272952938,0,1,24,113,0.2727272727272727,0,True,1,0.0,0,0.0973808243870735,0.0789418742060661,0.8236773014068604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8266510963439941,1
4,0:03:04,5535.0,0,0,Anthony Sinisuka GINTING,2,長球,0,0,1.0,5,788.0,420.0,1.0,3,878.0,661.0,,,Anthony Sinisuka GINTING,,9,0.9213706878433156,-1.3812900759332731,9,0.2445137029146607,1.1609329893913152,0,1,24,113,0.3636363636363636,1,True,1,0.0,0,0.0875491201877594,0.0709717944264411,0.3233439326286316,0.5181351900100708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2183169871568679,1
5,0:03:05,5573.0,0,0,CHOU Tien Chen,2,切球,0,0,1.0,4,878.0,661.0,1.0,8,785.0,466.0,,,Anthony Sinisuka GINTING,,4,0.7187708557252923,1.5873945124600404,9,0.4527060860895,-1.135244200805466,0,1,24,113,0.4545454545454545,0,True,1,0.0,0,0.0160363651812076,0.0129999024793505,0.0592268854379653,0.0952880010008812,0.8164488077163696,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7270383834838867,1
6,0:03:06,5595.0,0,0,Anthony Sinisuka GINTING,2,推撲球,0,1,2.0,9,785.0,466.0,2.0,3,856.0,663.0,,,Anthony Sinisuka GINTING,,9,0.4314229235247017,-0.8246003498228456,9,0.2758263121829281,1.2058489165623545,0,1,24,113,0.5454545454545454,1,True,1,0.0,0,0.0229831300675869,0.0186313036829233,0.0848832800984382,0.1365656405687332,0.4307336211204529,0.3062030673027038,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2555070519447326,1
7,0:03:07,5629.0,0,0,CHOU Tien Chen,2,長球,0,0,1.0,4,856.0,663.0,1.0,3,603.0,421.0,,,Anthony Sinisuka GINTING,,4,0.5531955584310698,1.527554347847781,9,0.3333656882114533,-0.9971899615930568,0,1,24,113,0.6363636363636364,0,True,1,0.0,0,0.0099433064460754,0.0080605568364262,0.0367234796285629,0.0590830780565738,0.1863504499197006,0.1367409825325012,0.5630981922149658,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6804136037826538,1
8,0:03:08,5666.0,0,0,Anthony Sinisuka GINTING,2,平球,0,0,1.0,4,603.0,421.0,1.0,6,507.0,590.0,,,Anthony Sinisuka GINTING,,9,-0.5509097618429017,-1.4034323602024976,9,-0.2246283453466575,1.1525186976188653,0,1,24,113,0.7272727272727273,1,True,1,0.0,0,0.0126204248517751,0.0102307610213756,0.0466108322143554,0.0749904736876487,0.2365230470895767,0.173556849360466,0.2670910954475403,0.1783765256404876,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3504126071929931,1
9,0:03:09,5678.0,0,0,CHOU Tien Chen,2,接殺防守,0,1,2.0,7,507.0,590.0,2.0,1,575.0,477.0,,,Anthony Sinisuka GINTING,,9,-0.3082111604057865,1.233569604368488,4,-0.9671446401989522,-1.4540944382562973,0,1,24,113,0.8181818181818182,0,True,1,0.0,0,0.0036696463357657,0.002974804257974,0.0135530540719628,0.0218050200492143,0.0687739253044128,0.0504652075469493,0.0776622146368026,0.106108158826828,0.6549880504608154,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8617364764213562,1
10,0:03:10,5708.0,0,0,Anthony Sinisuka GINTING,2,網前球,0,0,1.0,2,575.0,477.0,1.0,2,550.0,537.0,,,Anthony Sinisuka GINTING,,9,-0.7684333411119734,-0.7642677140670227,9,-0.3394425037855467,1.1799854391342752,0,1,24,113,0.9090909090909092,1,True,1,0.0,0,0.0060069826431572,0.0048695686273276,0.022185506299138,0.03569345921278,0.1125786378979682,0.0826084017753601,0.1271282136440277,0.1736924648284912,0.2562501430511474,0.1789865642786026,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4290442168712616,1
