match,rally,ball_round,player,serve,roundscore_A,roundscore_B,player_location_x,player_location_y,opponent_location_x,opponent_location_y,receive_type_number,receive_type,type_number,type,player_hit_x,player_hit_y,landing_x,landing_y,player_movement_x,player_movement_y,getpoint_player,constraint,violation
1,1,1,A,True,0,0,0.03813084008709211,-190.15427844941945,-11.84868924817738,172.52000064806668,,0,Serve long,10,0.0,0.0,-19.77547062560916,274.40109729766846,-12.058898452669382,-293.1561470031738,,False,
1,1,2,B,False,0,0,11.84868924817738,-172.52000064806668,12.058898452669382,293.1561470031738,Serve long,10,Drop,9,19.77547062560916,-274.40109729766846,107.1946635971716,174.40866046574354,-4.183537000790238,-213.95097076892853,,True,
1,1,3,A,False,0,0,-12.058898452669382,-293.1561470031738,4.183537000790238,213.95097076892853,Drop,9,Net Shot,7,-107.1946635971716,-174.40866046574354,90.42063447057802,203.96280163958954,-46.971817910671234,-263.88516783714294,,True,
1,1,4,B,False,1,0,-4.183537000790238,-213.95097076892853,46.971817910671234,263.88516783714294,Net Shot,7,Missed shot,11,0.0,0.0,0.0,0.0,0.0,0.0,CHOU Tien Chen,False,Miss hit
1,2,1,A,True,1,0,-11.042632141108072,-144.6912786115367,64.54463346510008,210.19293395491957,,0,Serve long,10,0.0,0.0,25.082198157906532,262.7013748884201,-1.8281632475554943,-290.6719636917114,,False,
1,2,2,B,False,1,0,-64.54463346510008,-210.19293395491957,1.8281632475554943,290.6719636917114,Serve long,10,Drop,9,-25.082198157906532,-262.7013748884201,14.690313711762428,183.1459379196167,23.40233627706766,-199.29354429244995,,True,
1,2,3,A,False,1,0,-1.8281632475554943,-290.6719636917114,-23.40233627706766,199.29354429244995,Drop,9,Net Shot,7,-14.690313711762428,-183.1459379196167,118.12115639251874,193.0892559377789,24.898215010762215,-222.9864925146103,,True,
1,2,4,B,False,1,0,23.40233627706766,-199.29354429244995,-24.898215010762215,222.9864925146103,Net Shot,7,Net Shot,7,-118.12115639251874,-193.0892559377789,117.48303673865794,202.11119328514002,36.404215805232525,-245.89664340019226,,True,
1,2,5,A,False,1,1,24.898215010762215,-222.9864925146103,-36.404215805232525,245.89664340019226,Net Shot,7,Missed shot,11,0.0,0.0,0.0,0.0,0.0,0.0,Kento MOMOTA,False,Miss hit
1,3,1,B,True,1,1,-2.3181744241521756,-116.67940093459379,67.9416540556431,176.71730943137146,,0,Serve short,1,0.0,0.0,99.38341416798484,127.00003525978781,19.91869367659092,-238.3274209499359,,True,
1,3,2,A,False,1,1,-67.9416540556431,-176.71730943137146,-19.91869367659092,238.3274209499359,Serve short,1,Lob,8,-99.38341416798484,-127.00003525978781,6.863263044506311,276.92484498023987,-13.90348820015788,-250.27663350105286,,False,
1,3,3,B,False,1,1,19.91869367659092,-238.3274209499359,13.90348820015788,250.27663350105286,Lob,8,Drop,9,-6.863263044506311,-276.92484498023987,-17.497987523674965,175.80121278762817,7.524383049458265,-163.26325178146362,,True,
1,3,4,A,False,1,1,-13.90348820015788,-250.27663350105286,-7.524383049458265,163.26325178146362,Drop,9,Smash Defence,5,17.497987523674965,-175.80121278762817,-8.512520138174295,230.96190690994263,35.57683650404215,-230.62842696905136,,True,
1,3,5,B,False,1,1,7.524383049458265,-163.26325178146362,-35.57683650404215,230.62842696905136,Smash Defence,5,Smash,4,8.512520138174295,-230.96190690994263,-3.7129166536033154,213.72753381729126,34.66489531099796,-267.1473491191864,,False,
1,3,6,A,False,1,1,35.57683650404215,-230.62842696905136,-34.66489531099796,267.1473491191864,Smash,4,Net Shot,7,3.7129166536033154,-213.72753381729126,84.72654110252174,219.84364885543613,3.7862407881766558,-256.80311143398285,,True,
1,3,7,B,False,1,1,34.66489531099796,-267.1473491191864,-3.7862407881766558,256.80311143398285,Net Shot,7,Net Shot,7,-84.72654110252174,-219.84364885543613,115.19560293638861,170.27770590081832,13.971935696899891,-215.9411108493805,,True,
1,3,8,A,False,1,2,3.7862407881766558,-256.80311143398285,-13.971935696899891,215.9411108493805,Net Shot,7,Missed shot,11,0.0,0.0,0.0,0.0,0.0,0.0,Kento MOMOTA,False,Miss hit
1,4,1,B,True,1,2,45.696618743620235,-221.52827150465265,-61.58139506068693,178.0438510319854,,0,Serve long,10,0.0,0.0,-89.28713768720627,227.22242295742035,10.797647163271904,-250.31025409698486,,False,
1,4,2,A,False,1,2,61.58139506068693,-178.0438510319854,-10.797647163271904,250.31025409698486,Serve long,10,Smash,4,89.28713768720627,-227.22242295742035,74.1191978007555,220.53717970848083,-56.77222669124603,-210.86587965488434,,False,
1,4,3,B,False,1,2,10.797647163271904,-250.31025409698486,56.77222669124603,210.86587965488434,Smash,4,Smash Defence,5,-74.1191978007555,-220.53717970848083,-1.1344534158706665,214.2271363735199,-12.777119092643261,-251.81106358766556,,True,
1,4,4,A,False,1,2,-56.77222669124603,-210.86587965488434,12.777119092643261,251.81106358766556,Smash Defence,5,Net Shot,7,1.1344534158706665,-214.2271363735199,126.52983610966291,172.78098828971588,-5.859442688524723,-246.48054152727127,,True,
1,4,5,B,False,1,2,-12.777119092643261,-251.81106358766556,5.859442688524723,246.48054152727127,Net Shot,7,Net Shot,7,-126.52983610966291,-172.78098828971588,79.68913997003618,185.540028485346,39.0063289180398,-248.3040502667427,,True,
1,4,6,A,False,1,2,-5.859442688524723,-246.48054152727127,-39.0063289180398,248.3040502667427,Net Shot,7,Net Shot,7,-79.68913997003618,-185.540028485346,-39.01799317449331,165.93310117721558,-20.140054021030664,-206.16661190986633,,True,
1,4,7,B,False,1,2,39.0063289180398,-248.3040502667427,20.140054021030664,206.16661190986633,Net Shot,7,Net Shot,7,39.01799317449331,-165.93310117721558,29.377673007547855,156.03102207183838,-16.31583496928215,-202.721529006958,,True,
1,4,8,A,False,1,2,-20.140054021030664,-206.16661190986633,16.31583496928215,202.721529006958,Net Shot,7,Net Shot,7,-29.377673007547855,-156.03102207183838,-35.12348838150501,167.34485149383545,-49.88270848989487,-262.445365190506,,True,
1,4,9,B,False,2,2,-16.31583496928215,-202.721529006958,49.88270848989487,262.445365190506,Net Shot,7,Missed shot,11,0.0,0.0,0.0,0.0,0.0,0.0,CHOU Tien Chen,False,Miss hit
1,5,1,A,True,2,2,7.948089814106652,-164.49936683695103,-30.9349279422473,205.20805492066108,,0,Serve long,10,0.0,0.0,-46.14091023802757,320.39018154144287,-5.015151537954807,-263.8175654411316,,False,
1,5,2,B,False,3,2,30.9349279422473,-205.20805492066108,5.015151537954807,263.8175654411316,Serve long,10,Missed shot,11,0.0,0.0,0.0,0.0,0.0,0.0,CHOU Tien Chen,False,Miss hit
